House_ID	WGS_ID_as_string	Isolate_Type	forced_EC_scheme	MLST results	rMLST_specie	ST	ExPEC	ETEC	EPEC	STEC	EAEC	DAEC	EIEC	CRO
SD0088	160	Stool Samples Mother	ecoli	ecoli	Escherichia coli	452	No	No	No	No	No	No	No	0
SD0088	161	Stool Samples Child	ecoli	ecoli	Escherichia coli	48	No	No	No	No	No	No	No	0
SD0138	164	Water	ecoli	ecoli	Escherichia coli	162	No	No	No	No	No	No	No	0
SD0138	165	Stool Samples Mother	ecoli	ecoli	Escherichia coli	-	No	No	No	No	No	No	No	0
SD0138	166	Stool Samples Child	ecoli	ecoli	Escherichia coli	3877	No	No	No	No	No	No	No	0
SD0138	167	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	191	No	No	No	No	No	No	No	1
SD0121	168	Water	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	0
SD0121	169	Stool Samples Mother	ecoli	ecoli	Escherichia coli	127	MaybeExPEC	No	No	No	No	No	No	0
SD0121	170	Stool Samples Child	ecoli	ecoli	Escherichia coli	127	MaybeExPEC	No	No	No	No	No	No	0
SD0013	171	Stool Samples Mother	ecoli	ecoli	Escherichia coli	226	No	No	No	No	No	No	No	0
SD0013	172	Stool Samples Child	ecoli	ecoli	Escherichia coli	2076	No	No	No	No	No	No	No	0
SD0013	173	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	86	No	No	No	No	No	No	No	1
SD0013	174	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0018	178	Stool Samples Mother	ecoli	ecoli	Escherichia coli	1276	No	No	No	No	No	No	No	0
SD0018	179	Stool Samples Child	ecoli	ecoli	Escherichia coli	155	No	No	No	No	No	No	No	0
SD0038	180	Stool Samples Mother	ecoli	ecoli	Escherichia coli	1727	No	No	No	No	No	No	No	0
SD0038	181	Stool Samples Child	ecoli	ecoli	Escherichia coli	156	No	No	No	No	No	No	No	0
SD0038	182	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	131	MaybeExPEC	No	No	No	No	No	No	1
SD0038	183	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	1193	MaybeExPEC	No	No	No	No	No	No	1
SD0081	184	Stool Samples Mother	ecoli	ecoli	Escherichia coli	156	No	No	No	No	No	No	No	0
SD0081	185	Stool Samples Child	ecoli	ecoli	Escherichia coli	4741	No	No	No	No	No	No	No	0
SD0081	186	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0081	187	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0156	188	Stool Samples Mother	ecoli	ecoli	Escherichia coli	452	No	No	No	No	No	No	No	0
SD0156	189	Stool Samples Child	ecoli	ecoli	Escherichia coli	452	No	No	No	No	No	No	No	0
SD0156	190	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	155	No	No	No	No	No	No	No	1
SD0156	191	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	117	No	No	No	No	No	No	No	1
SD0225	193	Stool Samples Mother	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	0
SD0225	194	Stool Samples Child	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	0
SD0225	195	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0225	196	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	3580	No	No	No	No	No	No	No	1
SD0157	198	Water + Ceftriaxone	ecoli	ecoli	Escherichia coli	6448	MaybeExPEC	No	No	No	No	No	No	1
SD0157	199	Stool Samples Mother	ecoli	ecoli	Escherichia coli	58	No	No	No	No	No	No	No	0
SD0157	200	Stool Samples Child	ecoli	ecoli	Escherichia coli	-	No	No	Yes	No	No	No	No	0
SD0157	201	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	69	MaybeExPEC	No	No	No	No	No	No	1
SD0157	202	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	117	No	No	No	No	No	No	No	1
SD0083	204	Stool Samples Mother	ecoli	ecoli	Escherichia coli	127	MaybeExPEC	No	No	No	No	No	No	0
SD0083	205	Stool Samples Child	ecoli	ecoli	Escherichia coli	5855	No	No	No	No	No	No	No	0
SD0083	206	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0083	175	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
NA	112	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	146	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	147	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	162	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	163	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	176	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	177	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	192	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	197	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
NA	203	NA	NA	NA	NA	NA	No	No	No	No	No	No	No	NA
